Respondent_Serial,ID,ReturnCode,IDType,USHOU1,MRK_SMPGRP,MRK_SMPSRC,IISPanelistID,DP_INCOME,DP_GENAGE,DP_EDUCATION_BAN,DP_HISPANIC_BAN,DP_USHHI2_der,usedu3_der,usmar2_der,EMP01_der,USRACE4_der,USRETH3_der,HADD_ZipCode_US,HCAL_REGION1_US,HCAL_REGION1_Label_abbreviation_US,HCAL_REGION1_Label_US,HCAL_Region3_US,HCAL_Region3_Label_US,HCAL_Region2_US,HCAL_Region2_Label_US,HCAL_AGGLO_CODE_US,HCAL_AGGLO_CODE_Label_US,HCAL_MktSize_US,HCAL_MktSize_Label_US,HCAL_STDMKTSIZE_US,HCAL_STDMKTSIZE_Label_US,HCAL_STDREGION_4CODES_US,HCAL_STDREGION_4CODES_Label_US,HCAL_STDREGION_US,HCAL_STDREGION_Label_US,TimeZone_US,Time_Zone_Label_US,NielsenCountySizeCode_US,QMktSize_1_1,QMktSize_2_1,QMktSize_3_1,QMktSize_4_1,QMktSize_5_1,QMktSize_6_1,QMktSize_7_1,QMktSize_8_1,QMktSize_9_1,QMktSize_10_1,QMktSize_11_1,QMktSize_12_1,QMktSize_13_1,QMktSize_14_1,QMktSize_15_1,QMktSize_16_1,QMktSize_17_1,QMktSize_18_1,QMktSize_19_1,QMktSize_20_1,QMktSize_21_1,QMktSize_22_1,QMktSize_23_1,QMktSize_24_1,QMktSize_25_1,QMktSize_26_1,QMktSize_27_1,QMktSize_28_1,QMktSize_29_1,QMktSize_30_1,QMktSize_31_1,QMktSize_32_1,QMktSize_33_1,QMktSize_34_1,QMktSize_35_1,QMktSize_36_1,QMktSize_37_1,QMktSize_38_1,QMktSize_39_1,QMktSize_40_1,QMktSize_41_1,QMktSize_42_1,QMktSize_43_1,QMktSize_44_1,QMktSize_45_1,QMktSize_46_1,QMktSize_47_1,QMktSize_48_1,QMktSize_49_1,QMktSize_50_1,QMktSize_51_1,QMktSize_52_1,QMktSize_53_1,QMktSize_54_1,QMktSize_55_1,QMktSize_56_1,QMktSize_57_1,QMktSize_58_1,QMktSize_59_1,QMktSize_60_1,QMktSize_61_1,QMktSize_62_1,QMktSize_63_1,QMktSize_64_1,QMktSize_65_1,QMktSize_66_1,QMktSize_67_1,QMktSize_68_1,QMktSize_69_1,QMktSize_70_1,QMktSize_71_1,QMktSize_72_1,QMktSize_73_1,QMktSize_74_1,QMktSize_75_1,QMktSize_76_1,QMktSize_77_1,QMktSize_78_1,QMktSize_79_1,QMktSize_80_1,QMktSize_81_1,QMktSize_82_1,QMktSize_83_1,QMktSize_84_1,QMktSize_85_1,QMktSize_86_1,QMktSize_87_1,QMktSize_88_1,QMktSize_89_1,QMktSize_90_1,QMktSize_91_1,QMktSize_92_1,QMktSize_93_1,QMktSize_94_1,QMktSize_95_1,QMktSize_96_1,QMktSize_97_1,QMktSize_98_1,QMktSize_99_1,ZIP_3DIGIT,ZIP_5DIGIT,State_Recoded,USHHI2,DMA,DP_ETHNICITY_BAN,Weightvar,resp_gender,resp_age,resp_age_long,REGION4,US09KID,US09KAB01,US09KAB02,US09KAB03,US09KAB04,US09KAB05,US09KAB06,US09KAB07,US09KAB08,US09KAB09,US09KAB10,US09KAB11,US09KAB12,US09KAB13,US09KAB14,US09KAB15,US09KAB16,US09KAB17,US09KAB18,US09KAB19,US09KAG01,US09KAG02,US09KAG03,US09KAG04,US09KAG05,US09KAG06,US09KAG07,US09KAG08,US09KAG09,US09KAG10,US09KAG11,US09KAG12,US09KAG13,US09KAG14,US09KAG15,US09KAG16,US09KAG17,US09KAG18,US09KAG19,USMAR2,STATE,US09KAB_AG_merged01,US09KAB_AG_merged02,US09KAB_AG_merged03,US09KAB_AG_merged04,US09KAB_AG_merged05,US09KAB_AG_merged06,US09KAB_AG_merged07,US09KAB_AG_merged08,US09KAB_AG_merged09,US09KAB_AG_merged10,US09KAB_AG_merged11,US09KAB_AG_merged12,US09KAB_AG_merged13,US09KAB_AG_merged14,US09KAB_AG_merged15,US09KAB_AG_merged16,US09KAB_AG_merged17,US09KAB_AG_merged18,US09KAB_AG_merged19,Age_pres,GENAGE_der,MRK_STATUS_DYN,MRK_START_TIME_DYN,MRK_END_TIME_DYN,MRK_DIFF_TIME_DYN,QUOTA_DYN,QUOTA_CAN_GENDER_DYN,QUOTA_CAN_AGERANGE_DYN,QUOTA_CAN_REGION_DYN,QUOTA_ROT_DYN1,QUOTA_ROT_DYN2,DYN101,DYN102,DYN103,DYN104,DYN105,DYN106,DYN107,DYN108,DYN109,DYN110,DYN111,DYN112,DYN113,GRID_DYN2_1_DYN2,GRID_DYN2_2_DYN2,GRID_DYN2_3_DYN2,GRID_DYN2_4_DYN2,GRID_DYN2_5_DYN2,GRID_DYN2_6_DYN2,GRID_DYN2_7_DYN2,GRID_DYN2_8_DYN2,GRID_DYN2_9_DYN2,GRID_DYN2_10_DYN2,GRID_DYN2_11_DYN2,GRID_DYN2_12_DYN2,SPLIT_ORDER_DYN2_1_DYN2_ORDER,SPLIT_ORDER_DYN2_2_DYN2_ORDER,SPLIT_ORDER_DYN2_3_DYN2_ORDER,SPLIT_ORDER_DYN2_4_DYN2_ORDER,SPLIT_ORDER_DYN2_5_DYN2_ORDER,SPLIT_ORDER_DYN2_6_DYN2_ORDER,SPLIT_ORDER_DYN2_7_DYN2_ORDER,SPLIT_ORDER_DYN2_8_DYN2_ORDER,SPLIT_ORDER_DYN2_9_DYN2_ORDER,SPLIT_ORDER_DYN2_10_DYN2_ORDER,SPLIT_ORDER_DYN2_11_DYN2_ORDER,SPLIT_ORDER_DYN2_12_DYN2_ORDER,DYN3,MARK_START_TIME_DYN,MARK_END_TIME_DYN,MARK_DIFF_TIME_DYN,Section_Version_DYN,Wavemarker,RACE_wgt,CurrentMonth,CurrentYear,KIDS01,USRACE41,USRACE42,USRACE43,USRACE44,USRACE45,USRACE46,USRACE47,COUNTRY10,INDHH1001,INDHH1002,INDHH1003,INDHH1004,INDHH1005,INDHH1006,INDHH1007,INDHH1008,INDHH1009,INDHH1010,INDHH1011,INDHH1012,INDHH1013,INDHH1014,INDHH1015,INDHH1016,INDHH1017,INDHH1018,INDHH1019,INDHH1020,INDHH1021,INDHH1022,INDHH1023,INDHH1024,INDHH1025,INDHH1026,INDHH1027,INDHH1028,INDHH1029,INDHH1030,INDHH1031,INDHH1032,INDHH1033,INDHH1034,INDHH1035,INDHH1036,USEDU3,USRETH3,PGS01,EMP01,DKIDS01_1_DKIDS01_Gender,DKIDS01_2_DKIDS01_Gender,DKIDS01_3_DKIDS01_Gender,DKIDS01_4_DKIDS01_Gender,DKIDS01_5_DKIDS01_Gender,DKIDS01_6_DKIDS01_Gender,DKIDS01_7_DKIDS01_Gender,DKIDS01_8_DKIDS01_Gender,DKIDS01_9_DKIDS01_Gender,DKIDS01_10_DKIDS01_Gender,DKIDS01_11_DKIDS01_Gender,DKIDS01_12_DKIDS01_Gender,DKIDS01_1_DKIDS01_YoB,DKIDS01_2_DKIDS01_YoB,DKIDS01_3_DKIDS01_YoB,DKIDS01_4_DKIDS01_YoB,DKIDS01_5_DKIDS01_YoB,DKIDS01_6_DKIDS01_YoB,DKIDS01_7_DKIDS01_YoB,DKIDS01_8_DKIDS01_YoB,DKIDS01_9_DKIDS01_YoB,DKIDS01_10_DKIDS01_YoB,DKIDS01_11_DKIDS01_YoB,DKIDS01_12_DKIDS01_YoB,DKIDS01_1_DKIDS01_MoB,DKIDS01_2_DKIDS01_MoB,DKIDS01_3_DKIDS01_MoB,DKIDS01_4_DKIDS01_MoB,DKIDS01_5_DKIDS01_MoB,DKIDS01_6_DKIDS01_MoB,DKIDS01_7_DKIDS01_MoB,DKIDS01_8_DKIDS01_MoB,DKIDS01_9_DKIDS01_MoB,DKIDS01_10_DKIDS01_MoB,DKIDS01_11_DKIDS01_MoB,DKIDS01_12_DKIDS01_MoB,DKIDS01_1_DKIDS01_Rel,DKIDS01_2_DKIDS01_Rel,DKIDS01_3_DKIDS01_Rel,DKIDS01_4_DKIDS01_Rel,DKIDS01_5_DKIDS01_Rel,DKIDS01_6_DKIDS01_Rel,DKIDS01_7_DKIDS01_Rel,DKIDS01_8_DKIDS01_Rel,DKIDS01_9_DKIDS01_Rel,DKIDS01_10_DKIDS01_Rel,DKIDS01_11_DKIDS01_Rel,DKIDS01_12_DKIDS01_Rel
2175,1148383941,9,1,2,1,1,1148383941,3,5,6,2,7,6,5,1,1,2,44321,39,36,Ohio,39153,SUMMIT,510,"Cleveland-Akron (Canton), OH",10420,"Akron, OH",4,"500,000-999,999",1,<1M,2,Midwest,3,East North Central,5,Eastern (GMT -05:00),2,,,,,,,510,,,,,,,,,,,,,,,,44321,,,,,,,,Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443,44321,36,11,510,1,0.6107822187395553,2,50,50,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,1,,,,1,,,,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,3,3,5,5,5,3,3,3,3,4,4,4,2,2,1,2,1,1,2,2,2,1,1,1,7,13703647296,13703647399,103,3,0,1,1,2017,1,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,1,1,1.0,,,,,,,,,,,,2000.0,,,,,,,,,,,,12.0,,,,,,,,,,,,1.0,,,,,,,,,,,
2176,1135903091,9,1,1,1,2,,1,1,5,1,1,5,1,5,1,1,95811,6,5,California,06067,SACRAMENTO,862,"Sacramento-Stockton-Modesto, CA",40900,"Sacramento--Roseville--Arden-Arcade, CA",5,"1,000,000-2,499,999",2,1M-4.9M,4,West,9,Pacific,8,Pacific (GMT -08:00),2,,,,,,,862,,,,,,,,,,,,,,,,95811,,,,,,,,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958,95811,5,1,862,1,2.4712084953097335,1,21,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,1,,,,1,,,,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,3,2,2,5,2,3,2,3,1,4,3,3,1,2,2,1,1,1,2,2,2,1,1,2,4,13703649112,13703650099,987,3,0,5,1,2017,0,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2179,C1461681698,9,1,3,1,3,,2,3,4,2,6,4,2,1,1,2,75234,48,44,Texas,48113,DALLAS,623,"Dallas-Ft. Worth, TX",19100,"Dallas-Fort Worth-Arlington, TX",7,"5,000,000 +",3,5M+,3,South,7,West South Central,6,Central (GMT -06:00),1,,,,,,,623,,,,,,,,,,,,,,,,75234,,,,,,,,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752,75234,44,9,623,1,0.7669146332974425,1,58,58,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3,1,,,,1,,,,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,4,3,3,3,3,4,2,2,2,1,3,3,1,2,2,2,1,2,1,1,2,2,1,1,4,13703647301,13703647386,85,3,0,1,1,2017,0,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2181,1148609852,9,1,1,1,2,,3,5,3,2,7,3,3,1,1,2,29617,45,41,South Carolina,45045,GREENVILLE,567,"Greenville-Spartanburg-Asheville-Anderson, SC-NC",24860,"Greenville-Anderson-Mauldin, SC",4,"500,000-999,999",1,<1M,3,South,5,South Atlantic,5,Eastern (GMT -05:00),2,,,,,,,567,,,,,,,,,,,,,,,,29617,,,,,,,,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,29617,42,11,567,1,0.6173041356744416,2,47,47,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,5,1,,,,1,,,,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,3,3,5,4,3,2,2,3,4,3,3,2,1,1,2,2,1,1,2,2,1,2,2,1,9,13703647350,13703647433,83,3,0,1,1,2017,0,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2188,1148066501,9,1,1,1,2,,5,5,7,2,9,7,3,1,1,2,18080,42,39,Pennsylvania,42077,LEHIGH,504,"Philadelphia, PA",10900,"Allentown-Bethlehem-Easton, PA-NJ",4,"500,000-999,999",1,<1M,1,Northeast,2,Middle Atlantic,5,Eastern (GMT -05:00),2,,,,,,,504,,,,,,,,,,,,,,,,18080,,,,,,,,Northeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,18080,39,20,504,1,0.9483977169781607,2,41,41,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,5,1,,,,1,,,,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,2,2,2,3,2,1,1,1,1,1,1,2,2,1,2,2,1,2,1,2,2,1,1,1,1,13703647339,13703647411,72,3,0,1,1,2017,2,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,1,1,1.0,2.0,,,,,,,,,,,2001.0,2002.0,,,,,,,,,,,10.0,3.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,
2189,1148383659,9,1,3,1,1,1148383659,1,1,3,2,1,3,1,2,1,2,46402,18,15,Indiana,18089,LAKE,602,"Chicago, IL",16980,"Chicago-Naperville-Elgin, IL-IN-WI",7,"5,000,000 +",3,5M+,2,Midwest,3,East North Central,6,Central (GMT -06:00),1,,,,,,,602,,,,,,,,,,,,,,,,46402,,,,,,,,Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464,46402,15,1,602,1,0.7151101659693552,1,30,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,1,,,,1,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,4,4,3,3,2,3,2,3,3,3,2,2,2,2,1,1,2,1,2,1,1,1,7,13703647463,13703647569,106,3,0,1,1,2017,0,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2190,1131609652,9,1,1,1,1,1131609652,1,3,3,2,1,3,3,8,1,2,44131,39,36,Ohio,39035,CUYAHOGA,510,"Cleveland-Akron (Canton), OH",17460,"Cleveland-Elyria, OH",5,"1,000,000-2,499,999",2,1M-4.9M,2,Midwest,3,East North Central,5,Eastern (GMT -05:00),1,,,,,,,510,,,,,,,,,,,,,,,,44131,,,,,,,,Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441,44131,36,3,510,1,0.8097621709340851,1,57,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3,1,,,,1,,,,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,4,2,6,6,3,3,3,3,6,3,3,3,2,2,2,1,2,2,1,1,2,1,1,1,5,13703647407,13703647518,111,3,0,1,1,2017,0,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200,1146161718,9,1,1,1,2,,4,4,7,2,8,7,3,1,1,2,20743,24,21,Maryland,24033,PRINCE GEORGES,511,"Washington, DC (Hagerstown, MD)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",7,"5,000,000 +",3,5M+,3,South,5,South Atlantic,5,Eastern (GMT -05:00),1,,,,,,,511,,,,,,,,,,,,,,,,20743,,,,,,,,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,20743,21,18,511,1,0.5788395957548725,2,30,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4,1,,,,1,,,,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,4,5,5,5,5,3,4,4,3,3,3,3,2,1,1,2,1,1,1,2,2,2,2,1,3,13703648509,13703648599,90,3,0,1,1,2017,0,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2201,1100863256,9,1,1,1,2,,2,6,4,2,6,4,3,2,1,2,06460,9,7,Connecticut,09009,NEW HAVEN,533,"Hartford & New Haven, CT",35300,"New Haven-Milford, CT",4,"500,000-999,999",1,<1M,1,Northeast,1,New England,5,Eastern (GMT -05:00),2,,,,,,,533,,,,,,,,,,,,,,,,06460,,,,,,,,Northeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,6460,7,9,533,1,0.631167747086534,2,56,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,6,1,,,,1,,,,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,6,6,6,6,6,6,6,2,2,2,2,2,1,1,2,1,2,2,2,1,1,2,1,2,7,13703647352,13703647422,70,3,0,1,1,2017,0,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203,C1461682378,9,1,3,1,3,,2,4,4,2,5,4,3,1,1,2,25064,54,49,West Virginia,54039,KANAWHA,564,"Charleston-Huntington, WV",16620,"Charleston, WV",2,"100,000-249,999",1,<1M,3,South,5,South Atlantic,5,Eastern (GMT -05:00),3,,,,,,,564,,,,,,,,,,,,,,,,25064,,,,,,,,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,25064,49,7,564,1,0.5787218407964644,2,27,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4,1,,,,1,,,,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,2,2,6,6,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,13703647379,13703647463,84,3,0,1,1,2017,0,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2216,1035200179,9,1,1,1,2,,5,5,5,2,9,5,3,1,1,2,13601,36,33,New York,36045,JEFFERSON,549,"Watertown, NY",48060,"Watertown-Fort Drum, NY",2,"100,000-249,999",1,<1M,1,Northeast,2,Middle Atlantic,5,Eastern (GMT -05:00),3,,,,,,,549,,,,,,,,,,,,,,,,13601,,,,,,,,Northeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,13601,33,19,549,1,0.9483977169781607,2,48,48,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,5,1,,,,1,,,,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,6,6,6,6,4,2,3,2,2,2,3,3,1,2,1,1,1,2,2,2,2,2,1,1,4,13703647371,13703647460,89,3,0,1,1,2017,1,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,1,1.0,,,,,,,,,,,,2003.0,,,,,,,,,,,,9.0,,,,,,,,,,,,1.0,,,,,,,,,,,
2218,C1461682677,9,1,1,1,3,,2,6,3,2,6,3,3,4,1,2,80015,8,6,Colorado,08005,ARAPAHOE,751,"Denver, CO",19740,"Denver-Aurora-Lakewood, CO",6,"2,500,000-4,999,999",2,1M-4.9M,4,West,8,Mountain,7,Mountain (GMT -07:00),1,,,,,,,751,,,,,,,,,,,,,,,,80015,,,,,,,,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,80015,6,10,751,1,0.8279737137166393,2,76,76,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,6,1,,,,1,,,,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,4,4,4,4,4,4,2,2,5,2,4,5,2,1,1,1,2,2,1,2,2,2,1,1,6,13703647421,13703647501,80,3,0,1,1,2017,0,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2224,1139246398,9,1,1,1,1,1139246398,5,2,7,2,9,7,3,1,1,2,30236,13,11,Georgia,13063,CLAYTON,524,"Atlanta, GA",12060,"Atlanta-Sandy Springs-Roswell, GA",7,"5,000,000 +",3,5M+,3,South,5,South Atlantic,5,Eastern (GMT -05:00),1,,,,,,,524,,,,,,,,,,,,,,,,30236,,,,,,,,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,30236,11,20,524,1,1.1700831161163423,1,40,40,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,,,,1,,,,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,4,4,5,5,4,3,4,3,3,2,2,3,1,2,2,2,1,1,2,1,1,2,2,1,7,13703647487,13703647565,78,3,0,1,1,2017,1,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,4,1,2.0,,,,,,,,,,,,2004.0,,,,,,,,,,,,6.0,,,,,,,,,,,,1.0,,,,,,,,,,,
2225,1146877532,9,1,3,1,1,1146877532,1,5,4,2,1,4,3,7,1,2,27028,37,34,North Carolina,37059,DAVIE,518,"Greensboro-High Point-Winston Salem, NC",49180,"Winston-Salem, NC",4,"500,000-999,999",1,<1M,3,South,5,South Atlantic,5,Eastern (GMT -05:00),2,,,,,,,518,,,,,,,,,,,,,,,,27028,,,,,,,,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,27028,35,2,518,1,0.6466099667160182,2,48,48,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5,1,,,,1,,,,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,3,3,3,5,5,4,5,2,4,4,5,5,2,1,1,2,2,2,1,1,2,2,1,1,3,13703647444,13703647509,65,3,0,1,1,2017,1,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,2,6,1.0,,,,,,,,,,,,2005.0,,,,,,,,,,,,12.0,,,,,,,,,,,,1.0,,,,,,,,,,,
